Type,Edge-only,JointDNN,Ours
WiFi BI-LSTM,1.890422222,0.308805556,0.008502778
5G BI-LSTM,0.869552778,0.304611111,0.004691667
WiFi ResNet,0.731991667,0.1308,0.038558333
5G ResNet,0.731991667,0.126311111,0.039402778
