title=   Accuracy versus Iterations (MNIST)            $\epsilon$=1.17, $\delta$=1e-5
xlabel= Epoch No.
x_range=0 41 
xlabeldetail=(0, 8)
ylabel=Accuracy(%)
y_range=0 100
ylabeldetail=(0, 10)
minor=True
plot_type=line
legend_loc=auto
linewidth=3
every=1
markevery=3
labels=['MVG','IMGM','GDP', 'Low_rank']
xdata=[]
ydata=[]
skip_data=[]
subplot=0
subplot_loc='0 0 0 0'
minor=False
label_fontsize=30
###LABEL_STARTER###
###DATA_STARTER###
1	10.59	10.59	10.59	10.59
2	12.85	60.87	56.47	9.8
3	11.79	60.41	61.2	9.58
4	10.75	69.24	67.91	18.45
5	10.99	74.87	64.09	10.09
6	9.82	81.57	69.05	9.74
7	10.37	80.38	71.26	11.18
8	9.89	82.51	63.26	9.82
9	11.38	81.81	60.45	10.32
10	9.97	83.61	63.21	9.57
11	9.91	81.74	43.44	9.74
12	9.84	83.57	55.45	9.8
13	11.51	83.79	45.71	12.68
14	11.29	83.66	47.33	8.93
15	10.17	84.7	47.31	10.65
16	10.08	86.35	46.78	6.23
17	8.56	87.73	52.89	7.88
18	10.18	87.85	48.24	14.97
19	10.57	85.36	46.92	8.68
20	9.78	88.46	54.31	10.41
21	10.08	88.65	50.32	8.9
22	10.18	86.34	51.06	11.46
23	10.11	88.81	50.9	11.74
24	10.36	88.78	54.12	9.46
25	9.81	89.49	53.9	11.83
26	10.39	89.36	51.19	10.23
27	12.14	90.52	54.6	9.68
28	10.76	90.31	53.37	9.73
29	10.58	91.71	47.37	11.41
30	9.78	91.84	38.72	11.35
31	10.16	92.08	30.57	10.24
32	9.02	92.11	33.97	11.33
33	10.29	92.62	33.9	11.41
34	9.58	92.64	30.26	11.54
35	9.77	93.1	31.2	11.42
36	10.29	93.27	31.61	7.27
37	9.94	93.5	29.24	11.33
38	9.6	93.19	30.28	11.34
39	9.89	93.68	32.86	11.35
40	10.38	94.03	30.12	11.36
