x,sage_e1,sage_e2,sage_e3,sage_e4,sage_e5,sage_e6,sage_e7,sig_e1,sig_e2,sig_e3,sig_e4,sig_e5,sig_e6,sig_e7,hard_e1,hard_e2,hard_e3,hard_e4,hard_e5,hard_e6,hard_e7,soft_e1,soft_e2,soft_e3,soft_e4,soft_e5,soft_e6,soft_e7
0.7,1.203972804,1.203972804,0.842780963,1.324370085,1.083575524,1.083575524,0.842780963,0.963178243,1.444767365,1.565164646,0.963178243,1.083575524,1.083575524,0.842780963,1.391899825,2.067695146,1.893368125,0,1.559634419,0.830306649,2.481547857,1.409991593,0,1.409991593,0,1.409991593,0,0
0.75,1.802182669,1.524923797,1.802182669,1.109035489,1.109035489,1.802182669,1.663553233,1.109035489,0.831776617,0.970406053,0.831776617,0.831776617,1.663553233,0.831776617,1.034235917,0.668056526,1.007779454,0,0.572722966,0.533664448,0.465222101,1.414768532,0,1.414768532,0,1.414768532,0,0
0.8,2.092269286,1.609437912,1.28755033,1.28755033,1.448494121,1.448494121,1.448494121,1.931325495,1.770381704,2.57510066,1.448494121,2.736044451,2.092269286,1.931325495,0.825105504,1.942267906,1.088190863,0,2.214871539,1.674827145,0.790320244,1.433683913,0,1.433683913,0,1.433683913,0,0
0.85,3.604527971,2.845679977,1.707407986,2.276543982,1.517695988,2.086831983,1.897119985,2.46625598,2.276543982,2.46625598,1.517695988,2.46625598,2.276543982,2.46625598,1.124778421,0.903674529,0.691678788,0,1.353578221,0.930105427,1.386665346,1.141012503,0,1.141012503,0,1.141012503,0,0
0.9,2.532843602,2.763102112,1.842068074,2.763102112,2.993360621,2.072326584,2.993360621,2.993360621,2.763102112,3.453877639,0.921034037,3.453877639,2.072326584,0.921034037,1.76539793,1.517317663,1.696776667,0,2.044526853,2.640681397,1.786747328,1.596115798,0,1.596115798,0,1.596115798,0,0
